bookingid_(pnr),reservation_date,cancellation_date,flight_date,origin,destination,routing,flightnumber,revenue_per_booking_(ticket),revenue_per_booking_(ancilliary_pre_check_in),revenue_per_booking_(ancilliary_at_check_in),passengercount,bookingid_norm,total_revenue,routing_canonical,is_cancelled,flight_dow,days_after_booking_to_cancel,days_before_flight_to_cancel,lead_time_days,ancillary_total
700019,2025-02-11,,2025-03-27,FCO,PMO,FCO-PMO,DE1001,76.5,11.1,0.0,1,700019,87.6,FCO-PMO,False,Thursday,,,44,11.1
700020,2025-02-06,,2025-03-19,FCO,FRA,FCO-FRA,DE1003,68.0,5.94,4.05,1,700020,77.99,FCO-FRA,False,Wednesday,,,41,9.99
700021,2025-03-21,,2025-03-29,FCO,PMO,FCO-PMO,DE1001,90.0,5.42,0.0,1,700021,95.42,FCO-PMO,False,Saturday,,,8,5.42
700022,2025-03-29,,2025-04-03,PMO,FCO,PMO-FCO,DE1002,108.0,9.06,0.0,1,700022,117.06,PMO-FCO,False,Thursday,,,5,9.06
700023,2025-01-20,,2025-03-06,FCO,FRA,FCO-FRA,DE1003,68.0,19.95,8.17,1,700023,96.12,FCO-FRA,False,Thursday,,,45,28.119999999999997
700024,2025-03-25,,2025-04-13,PMO,FCO,PMO-FCO,DE1002,286.88,6.75,0.0,3,700024,293.63,PMO-FCO,False,Sunday,,,19,6.75
700025,2025-02-03,,2025-03-29,FCO,FRA,FCO-FRA,DE1003,136.0,14.22,5.98,2,700025,156.2,FCO-FRA,False,Saturday,,,54,20.200000000000003
700026,2025-02-11,,2025-03-28,FRA,FCO,FRA-FCO,DE1000,136.0,15.47,2.36,2,700026,153.83,FRA-FCO,False,Friday,,,45,17.830000000000002
700027,2025-02-25,,2025-03-29,FCO,FRA,FCO-FRA,DE1003,136.0,7.88,9.83,2,700027,153.71,FCO-FRA,False,Saturday,,,32,17.71
700028,2025-02-28,,2025-04-20,PMO,FCO,PMO-FCO,DE1002,95.62,0.0,6.17,1,700028,101.79,PMO-FCO,False,Sunday,,,51,6.17
700029,2025-03-01,,2025-04-19,FCO,FRA,FCO-FRA,DE1003,85.0,0.0,6.57,1,700029,91.57,FCO-FRA,False,Saturday,,,49,6.57
700030,2025-03-07,,2025-03-27,FCO,PMO,FCO → PMO,DE1001,153.0,13.28,7.61,2,700030,173.89000000000001,FCO-PMO,False,Thursday,,,20,20.89
700031,2025-02-13,,2025-03-22,FCO,FRA,FCO → FRA,DE1003,136.0,11.63,5.44,2,700031,153.07,FCO-FRA,False,Saturday,,,37,17.07
700032,2025-03-03,,2025-03-06,FCO,FRA,FCO-FRA,DE1003,240.0,0.0,0.0,2,700032,240.0,FCO-FRA,False,Thursday,,,3,0.0
700033,2025-03-18,,2025-04-19,FCO,PMO,FCO-PMO,DE1001,191.25,16.55,0.0,2,700033,207.8,FCO-PMO,False,Saturday,,,32,16.55
700034,2025-01-29,,2025-03-09,FCO,PMO,FCO-PMO,DE1001,76.5,11.91,7.81,1,700034,96.22,FCO-PMO,False,Sunday,,,39,19.72
700035,2025-03-24,,2025-04-11,FCO,PMO,FCO-PMO,DE1001,76.5,11.31,4.54,1,700035,92.35000000000001,FCO-PMO,False,Friday,,,18,15.850000000000001
700036,2025-04-14,,2025-04-24,FCO,FRA,FCO-FRA,DE1003,100.0,0.0,0.0,1,700036,100.0,FCO-FRA,False,Thursday,,,10,0.0
700037,2025-04-17,,2025-04-26,FRA,FCO,FRA-FCO,DE1000,100.0,7.18,4.77,1,700037,111.95,FRA-FCO,False,Saturday,,,9,11.95
700038,2025-02-20,,2025-03-15,FCO,FRA,FCO-FRA,DE1003,68.0,8.21,0.0,1,700038,76.21000000000001,FCO-FRA,False,Saturday,,,23,8.21
700039,2025-03-03,,2025-04-24,FCO,PMO,FCO-PMO,DE1001,191.25,19.72,5.75,2,700039,216.72,FCO-PMO,False,Thursday,,,52,25.47
700040,2025-03-05,,2025-04-23,FCO,FRA,FCO-FRA,DE1003,85.0,0.0,9.48,1,700040,94.48,FCO-FRA,False,Wednesday,,,49,9.48
700041,2025-02-11,,2025-04-10,PMO,FCO,PMO → FCO,DE1002,229.5,0.0,8.31,3,700041,237.81,PMO-FCO,False,Thursday,,,58,8.31
700042,2025-01-29,,2025-03-19,FRA,FCO,FRA-FCO,DE1000,68.0,0.0,5.08,1,700042,73.08,FRA-FCO,False,Wednesday,,,49,5.08
700043,2025-03-23,,2025-04-30,FCO,FRA,FCO-FRA,DE1003,68.0,18.17,0.0,1,700043,86.17,FCO-FRA,False,Wednesday,,,38,18.17
700044,2025-02-24,,2025-04-05,FCO,FRA,FCO-FRA,DE1003,68.0,14.41,5.88,1,700044,88.28999999999999,FCO-FRA,False,Saturday,,,40,20.29
700045,2025-02-08,,2025-03-30,FCO,FRA,FCO-FRA,DE1003,136.0,16.4,2.11,2,700045,154.51000000000002,FCO-FRA,False,Sunday,,,50,18.509999999999998
700046,2025-03-06,,2025-04-25,FCO,FRA,FCO-FRA,DE1003,170.0,0.0,0.0,2,700046,170.0,FCO-FRA,False,Friday,,,50,0.0
700047,2025-03-13,,2025-03-21,PMO,FCO,PMO → FCO,DE1002,90.0,7.06,6.36,1,700047,103.42,PMO-FCO,False,Friday,,,8,13.42
700048,2025-03-02,,2025-04-19,FCO,PMO,FCO-PMO,DE1001,95.62,12.08,0.0,1,700048,107.7,FCO-PMO,False,Saturday,,,48,12.08
700049,2025-02-09,,2025-03-27,FCO,PMO,FCO-PMO,DE1001,153.0,19.0,9.55,2,700049,181.55,FCO-PMO,False,Thursday,,,46,28.55
700050,2025-03-23,,2025-04-16,FCO,PMO,FCO → PMO,DE1001,95.62,0.0,0.0,1,700050,95.62,FCO-PMO,False,Wednesday,,,24,0.0
700051,2025-04-01,,2025-04-28,FCO,FRA,FCO-FRA,DE1003,68.0,19.32,0.0,1,700051,87.32,FCO-FRA,False,Monday,,,27,19.32
700052,2025-03-07,,2025-04-17,PMO,FCO,PMO → FCO,DE1002,95.62,12.66,4.29,1,700052,112.57000000000001,PMO-FCO,False,Thursday,,,41,16.95
700053,2025-02-25,,2025-03-14,PMO,FCO,PMO → FCO,DE1002,76.5,0.0,5.56,1,700053,82.06,PMO-FCO,False,Friday,,,17,5.56
700054,2025-03-09,,2025-04-07,FRA,FCO,FRA-FCO,DE1000,68.0,0.0,0.0,1,700054,68.0,FRA-FCO,False,Monday,,,29,0.0
700055,2025-01-25,,2025-03-08,FCO,PMO,FCO-PMO,DE1001,76.5,9.25,9.33,1,700055,95.08,FCO-PMO,False,Saturday,,,42,18.58
700056,2025-02-18,,2025-03-30,FCO,PMO,FCO-PMO,DE1001,153.0,8.11,2.52,2,700056,163.63000000000002,FCO-PMO,False,Sunday,,,40,10.629999999999999
700057,2025-02-24,,2025-03-31,FRA,FCO,FRA-FCO,DE1000,68.0,18.86,0.0,1,700057,86.86,FRA-FCO,False,Monday,,,35,18.86
700058,2025-02-13,,2025-04-06,PMO,FCO,PMO-FCO,DE1002,76.5,8.91,2.89,1,700058,88.3,PMO-FCO,False,Sunday,,,52,11.8
700059,2025-02-01,,2025-03-22,PMO,FCO,PMO-FCO,DE1002,76.5,16.34,9.56,1,700059,102.4,PMO-FCO,False,Saturday,,,49,25.9
700060,2025-04-01,,2025-04-28,FCO,FRA,FCO-FRA,DE1003,68.0,0.0,6.64,1,700060,74.64,FCO-FRA,False,Monday,,,27,6.64
700061,2025-03-06,2025-03-09,2025-04-30,FCO,FRA,FCO-FRA,DE1003,68.0,11.51,4.84,1,700061,84.35000000000001,FCO-FRA,True,Wednesday,3.0,52.0,55,16.35
700062,2025-02-23,,2025-03-09,FRA,FCO,FRA → FCO,DE1000,80.0,9.7,0.0,1,700062,89.7,FRA-FCO,False,Sunday,,,14,9.7
700063,2025-02-22,,2025-03-13,FRA,FCO,FRA-FCO,DE1000,68.0,14.09,4.12,1,700063,86.21000000000001,FRA-FCO,False,Thursday,,,19,18.21
700064,2025-02-19,,2025-04-03,FCO,FRA,FCO-FRA,DE1003,68.0,19.13,9.58,1,700064,96.71,FCO-FRA,False,Thursday,,,43,28.71
700065,2025-03-28,,2025-04-18,PMO,FCO,PMO-FCO,DE1002,191.25,9.32,9.12,2,700065,209.69,PMO-FCO,False,Friday,,,21,18.439999999999998
700066,2025-02-28,,2025-04-06,FCO,FRA,FCO-FRA,DE1003,68.0,0.0,7.22,1,700066,75.22,FCO-FRA,False,Sunday,,,37,7.22
700067,2025-01-19,,2025-03-06,FCO,PMO,FCO → PMO,DE1001,229.5,7.09,0.0,3,700067,236.59,FCO-PMO,False,Thursday,,,46,7.09
700068,2025-03-19,,2025-04-19,PMO,FCO,PMO-FCO,DE1002,95.62,11.45,3.76,1,700068,110.83000000000001,PMO-FCO,False,Saturday,,,31,15.209999999999999
700069,2025-02-03,,2025-03-08,FCO,PMO,FCO-PMO,DE1001,229.5,14.14,3.48,3,700069,247.11999999999998,FCO-PMO,False,Saturday,,,33,17.62
700070,2025-02-21,,2025-04-03,FCO,FRA,FCO-FRA,DE1003,68.0,12.66,6.56,1,700070,87.22,FCO-FRA,False,Thursday,,,41,19.22
700071,2025-02-07,,2025-03-05,PMO,FCO,PMO-FCO,DE1002,153.0,0.0,5.98,2,700071,158.98,PMO-FCO,False,Wednesday,,,26,5.98
700072,2025-04-02,,2025-04-03,FRA,FCO,FRA-FCO,DE1000,120.0,0.0,5.62,1,700072,125.62,FRA-FCO,False,Thursday,,,1,5.62
700073,2025-02-20,,2025-03-20,FRA,FCO,FRA-FCO,DE1000,136.0,14.61,2.44,2,700073,153.05,FRA-FCO,False,Thursday,,,28,17.05
700074,2025-02-16,,2025-04-05,FRA,FCO,FRA → FCO,DE1000,68.0,14.15,3.56,1,700074,85.71000000000001,FRA-FCO,False,Saturday,,,48,17.71
700075,2025-01-17,,2025-03-08,FCO,FRA,FCO → FRA,DE1003,68.0,14.63,9.72,1,700075,92.35,FCO-FRA,False,Saturday,,,50,24.35
700076,2025-01-16,,2025-03-09,FRA,FCO,FRA-FCO,DE1000,204.0,0.0,4.11,3,700076,208.11,FRA-FCO,False,Sunday,,,52,4.11
700077,2025-01-28,,2025-03-08,FRA,FCO,FRA-FCO,DE1000,68.0,11.91,5.52,1,700077,85.42999999999999,FRA-FCO,False,Saturday,,,39,17.43
700078,2025-04-16,,2025-04-17,FCO,PMO,FCO-PMO,DE1001,168.75,0.0,7.52,1,700078,176.27,FCO-PMO,False,Thursday,,,1,7.52
700079,2025-02-16,,2025-03-28,PMO,FCO,PMO-FCO,DE1002,76.5,10.54,0.0,1,700079,87.03999999999999,PMO-FCO,False,Friday,,,40,10.54
700080,2025-01-26,,2025-03-23,FCO,PMO,FCO-PMO,DE1001,229.5,8.65,0.0,3,700080,238.15,FCO-PMO,False,Sunday,,,56,8.65
700081,2025-03-21,,2025-04-18,FCO,PMO,FCO-PMO,DE1001,191.25,0.0,3.17,2,700081,194.42,FCO-PMO,False,Friday,,,28,3.17
700082,2025-02-11,,2025-03-17,FCO,FRA,FCO → FRA,DE1003,136.0,5.94,0.0,2,700082,141.94,FCO-FRA,False,Monday,,,34,5.94
700083,2025-03-01,,2025-04-27,FCO,FRA,FCO-FRA,DE1003,170.0,15.93,8.67,2,700083,194.6,FCO-FRA,False,Sunday,,,57,24.6
700084,2025-02-18,,2025-03-23,FCO,PMO,FCO-PMO,DE1001,76.5,6.56,4.16,1,700084,87.22,FCO-PMO,False,Sunday,,,33,10.719999999999999
700085,2025-01-24,,2025-03-02,FCO,PMO,FCO → PMO,DE1001,76.5,0.0,2.31,1,700085,78.81,FCO-PMO,False,Sunday,,,37,2.31
700086,2025-03-22,,2025-04-09,PMO,FCO,PMO-FCO,DE1002,76.5,0.0,8.48,1,700086,84.98,PMO-FCO,False,Wednesday,,,18,8.48
700087,2025-02-15,,2025-03-29,FCO,PMO,FCO → PMO,DE1001,153.0,5.84,4.17,2,700087,163.01,FCO-PMO,False,Saturday,,,42,10.01
700088,2025-03-16,,2025-04-19,PMO,FCO,PMO-FCO,DE1002,95.62,7.06,6.15,1,700088,108.83000000000001,PMO-FCO,False,Saturday,,,34,13.21
700089,2025-04-04,,2025-04-16,PMO,FCO,PMO → FCO,DE1002,112.5,0.0,8.43,1,700089,120.93,PMO-FCO,False,Wednesday,,,12,8.43
700090,2025-04-15,,2025-04-18,PMO,FCO,PMO-FCO,DE1002,168.75,17.78,6.45,1,700090,192.98,PMO-FCO,False,Friday,,,3,24.23
700091,2025-04-04,,2025-04-28,FRA,FCO,FRA → FCO,DE1000,68.0,16.12,9.3,1,700091,93.42,FRA-FCO,False,Monday,,,24,25.42
700092,2025-03-30,,2025-04-20,PMO,FCO,PMO → FCO,DE1002,95.62,11.06,0.0,1,700092,106.68,PMO-FCO,False,Sunday,,,21,11.06
700093,2025-03-12,,2025-04-24,PMO,FCO,PMO-FCO,DE1002,286.88,17.99,6.62,3,700093,311.49,PMO-FCO,False,Thursday,,,43,24.61
700094,2025-01-31,,2025-03-14,FRA,FCO,FRA-FCO,DE1000,68.0,19.11,2.55,1,700094,89.66,FRA-FCO,False,Friday,,,42,21.66
700095,2025-01-20,,2025-03-12,FCO,FRA,FCO-FRA,DE1003,204.0,11.62,3.33,3,700095,218.95000000000002,FCO-FRA,False,Wednesday,,,51,14.95
700096,2025-02-24,,2025-04-02,FCO,PMO,FCO-PMO,DE1001,153.0,19.7,6.55,2,700096,179.25,FCO-PMO,False,Wednesday,,,37,26.25
700097,2025-02-11,,2025-03-02,FCO,PMO,FCO-PMO,DE1001,76.5,0.0,2.45,1,700097,78.95,FCO-PMO,False,Sunday,,,19,2.45
700098,2025-01-24,,2025-03-24,PMO,FCO,PMO-FCO,DE1002,76.5,12.89,2.32,1,700098,91.71,PMO-FCO,False,Monday,,,59,15.21
700099,2025-04-20,,2025-04-27,PMO,FCO,PMO → FCO,DE1002,270.0,12.57,6.18,2,700099,288.75,PMO-FCO,False,Sunday,,,7,18.75
700100,2025-04-07,,2025-04-21,FRA,FCO,FRA → FCO,DE1000,100.0,0.0,5.34,1,700100,105.34,FRA-FCO,False,Monday,,,14,5.34
700101,2025-04-04,,2025-04-16,FRA,FCO,FRA-FCO,DE1000,100.0,14.51,3.13,1,700101,117.64,FRA-FCO,False,Wednesday,,,12,17.64
700102,2025-03-02,,2025-03-15,PMO,FCO,PMO → FCO,DE1002,90.0,0.0,3.05,1,700102,93.05,PMO-FCO,False,Saturday,,,13,3.05
700103,2025-02-05,,2025-03-10,FRA,FCO,FRA → FCO,DE1000,68.0,14.0,4.51,1,700103,86.51,FRA-FCO,False,Monday,,,33,18.509999999999998
700104,2025-02-03,,2025-03-05,FCO,PMO,FCO → PMO,DE1001,229.5,11.03,2.76,3,700104,243.29,FCO-PMO,False,Wednesday,,,30,13.79
700105,2025-04-21,,2025-04-24,FCO,PMO,FCO-PMO,DE1001,168.75,0.0,3.92,1,700105,172.67,FCO-PMO,False,Thursday,,,3,3.92
700106,2025-02-17,,2025-04-13,FCO,FRA,FCO-FRA,DE1003,85.0,12.07,8.9,1,700106,105.97,FCO-FRA,False,Sunday,,,55,20.97
700107,2025-03-26,,2025-03-30,FRA,FCO,FRA-FCO,DE1000,96.0,10.99,0.0,1,700107,106.99,FRA-FCO,False,Sunday,,,4,10.99
700108,2025-02-18,,2025-03-27,FCO,FRA,FCO → FRA,DE1003,68.0,10.64,8.06,1,700108,86.7,FCO-FRA,False,Thursday,,,37,18.700000000000003
700109,2025-03-20,,2025-04-09,FCO,PMO,FCO-PMO,DE1001,153.0,17.19,9.6,2,700109,179.79,FCO-PMO,False,Wednesday,,,20,26.79
700110,2025-02-18,,2025-04-09,FCO,PMO,FCO-PMO,DE1001,76.5,10.79,6.52,1,700110,93.80999999999999,FCO-PMO,False,Wednesday,,,50,17.31
700111,2025-01-13,,2025-03-05,FCO,PMO,FCO → PMO,DE1001,153.0,0.0,9.39,2,700111,162.39,FCO-PMO,False,Wednesday,,,51,9.39
700112,2025-03-28,,2025-03-30,FCO,FRA,FCO-FRA,DE1003,120.0,10.08,7.63,1,700112,137.71,FCO-FRA,False,Sunday,,,2,17.71
700113,2025-03-22,,2025-04-21,FRA,FCO,FRA → FCO,DE1000,170.0,16.79,0.0,2,700113,186.79,FRA-FCO,False,Monday,,,30,16.79
700114,2025-03-01,2025-03-04,2025-03-12,FRA,FCO,FRA-FCO,DE1000,160.0,5.71,0.0,2,700114,165.71,FRA-FCO,True,Wednesday,3.0,8.0,11,5.71
700115,2025-03-04,,2025-04-12,FCO,FRA,FCO-FRA,DE1003,68.0,17.0,0.0,1,700115,85.0,FCO-FRA,False,Saturday,,,39,17.0
700116,2025-03-02,,2025-03-05,FRA,FCO,FRA-FCO,DE1000,360.0,18.02,0.0,3,700116,378.02,FRA-FCO,False,Wednesday,,,3,18.02
700117,2025-02-05,,2025-03-31,FCO,FRA,FCO → FRA,DE1003,68.0,14.24,0.0,1,700117,82.24,FCO-FRA,False,Monday,,,54,14.24
700118,2025-01-17,,2025-03-13,PMO,FCO,PMO-FCO,DE1002,76.5,0.0,7.45,1,700118,83.95,PMO-FCO,False,Thursday,,,55,7.45
700119,2025-04-04,,2025-04-25,PMO,FCO,PMO-FCO,DE1002,191.25,0.0,7.49,2,700119,198.74,PMO-FCO,False,Friday,,,21,7.49
700120,2025-02-03,,2025-03-23,PMO,FCO,PMO-FCO,DE1002,153.0,19.36,6.32,2,700120,178.68,PMO-FCO,False,Sunday,,,48,25.68
700121,2025-01-01,,2025-03-01,FCO,PMO,FCO → PMO,DE1001,153.0,6.88,6.58,2,700121,166.46,FCO-PMO,False,Saturday,,,59,13.46
700122,2025-02-10,,2025-04-09,PMO,FCO,PMO → FCO,DE1002,76.5,0.0,0.0,1,700122,76.5,PMO-FCO,False,Wednesday,,,58,0.0
700123,2025-02-23,2025-02-27,2025-03-03,FCO,FRA,FCO → FRA,DE1003,80.0,13.3,0.0,1,700123,93.3,FCO-FRA,True,Monday,4.0,4.0,8,13.3
700124,2025-02-05,,2025-03-15,FRA,FCO,FRA-FCO,DE1000,68.0,0.0,6.64,1,700124,74.64,FRA-FCO,False,Saturday,,,38,6.64
700125,2025-02-11,,2025-03-26,FRA,FCO,FRA → FCO,DE1000,68.0,17.68,7.77,1,700125,93.45,FRA-FCO,False,Wednesday,,,43,25.45
700126,2025-03-07,,2025-03-12,FRA,FCO,FRA → FCO,DE1000,192.0,19.66,0.0,2,700126,211.66,FRA-FCO,False,Wednesday,,,5,19.66
700127,2025-02-16,,2025-04-11,PMO,FCO,PMO → FCO,DE1002,153.0,7.71,7.03,2,700127,167.74,PMO-FCO,False,Friday,,,54,14.74
700128,2025-03-06,,2025-03-22,FCO,PMO,FCO → PMO,DE1001,153.0,9.52,0.0,2,700128,162.52,FCO-PMO,False,Saturday,,,16,9.52
700129,2025-03-03,,2025-04-12,FCO,PMO,FCO-PMO,DE1001,153.0,0.0,9.91,2,700129,162.91,FCO-PMO,False,Saturday,,,40,9.91
700130,2025-03-05,,2025-03-08,FCO,PMO,FCO-PMO,DE1001,135.0,8.29,4.14,1,700130,147.42999999999998,FCO-PMO,False,Saturday,,,3,12.43
700131,2025-03-18,2025-03-19,2025-03-24,PMO,FCO,PMO-FCO,DE1002,216.0,6.8,8.66,2,700131,231.46,PMO-FCO,True,Monday,1.0,5.0,6,15.46
700132,2025-02-22,,2025-03-14,FCO,PMO,FCO → PMO,DE1001,153.0,0.0,4.91,2,700132,157.91,FCO-PMO,False,Friday,,,20,4.91
700133,2025-01-30,,2025-03-14,FRA,FCO,FRA-FCO,DE1000,68.0,19.82,6.52,1,700133,94.33999999999999,FRA-FCO,False,Friday,,,43,26.34
700134,2025-03-13,2025-03-14,2025-03-24,FCO,FRA,FCO → FRA,DE1003,80.0,13.21,3.27,1,700134,96.48,FCO-FRA,True,Monday,1.0,10.0,11,16.48
700135,2025-01-31,2025-02-01,2025-03-07,FRA,FCO,FRA-FCO,DE1000,136.0,11.85,9.36,2,700135,157.20999999999998,FRA-FCO,True,Friday,1.0,34.0,35,21.21
700136,2025-03-07,,2025-04-07,FCO,FRA,FCO → FRA,DE1003,136.0,11.65,6.13,2,700136,153.78,FCO-FRA,False,Monday,,,31,17.78
700137,2025-02-23,,2025-04-05,FRA,FCO,FRA → FCO,DE1000,68.0,6.26,4.69,1,700137,78.95,FRA-FCO,False,Saturday,,,41,10.95
700138,2025-02-16,,2025-04-04,FCO,PMO,FCO → PMO,DE1001,229.5,5.87,7.36,3,700138,242.73000000000002,FCO-PMO,False,Friday,,,47,13.23
700139,2025-03-21,,2025-04-04,PMO,FCO,PMO → FCO,DE1002,180.0,7.89,0.0,2,700139,187.89,PMO-FCO,False,Friday,,,14,7.89
700140,2025-03-08,,2025-03-22,FRA,FCO,FRA-FCO,DE1000,80.0,18.54,4.3,1,700140,102.83999999999999,FRA-FCO,False,Saturday,,,14,22.84
700141,2025-01-25,,2025-03-02,FCO,PMO,FCO-PMO,DE1001,76.5,0.0,6.01,1,700141,82.51,FCO-PMO,False,Sunday,,,36,6.01
700142,2025-03-03,,2025-04-13,FRA,FCO,FRA-FCO,DE1000,85.0,7.44,0.0,1,700142,92.44,FRA-FCO,False,Sunday,,,41,7.44
700143,2025-03-04,,2025-04-24,FCO,PMO,FCO-PMO,DE1001,95.62,0.0,5.27,1,700143,100.89,FCO-PMO,False,Thursday,,,51,5.27
700144,2025-02-20,,2025-03-21,FCO,FRA,FCO → FRA,DE1003,68.0,10.81,3.14,1,700144,81.95,FCO-FRA,False,Friday,,,29,13.950000000000001
700145,2025-02-12,,2025-03-27,FRA,FCO,FRA-FCO,DE1000,68.0,17.24,0.0,1,700145,85.24,FRA-FCO,False,Thursday,,,43,17.24
700146,2025-02-24,,2025-04-13,FCO,FRA,FCO → FRA,DE1003,85.0,0.0,8.71,1,700146,93.71000000000001,FCO-FRA,False,Sunday,,,48,8.71
700147,2025-02-05,,2025-03-07,FCO,PMO,FCO-PMO,DE1001,76.5,14.52,4.13,1,700147,95.14999999999999,FCO-PMO,False,Friday,,,30,18.65
700148,2025-02-18,,2025-04-12,PMO,FCO,PMO-FCO,DE1002,76.5,13.5,4.82,1,700148,94.82,PMO-FCO,False,Saturday,,,53,18.32
700149,2025-02-12,,2025-03-10,FCO,FRA,FCO → FRA,DE1003,68.0,19.12,4.24,1,700149,91.36,FCO-FRA,False,Monday,,,26,23.36
700150,2025-02-28,,2025-03-09,PMO,FCO,PMO-FCO,DE1002,90.0,9.57,2.41,1,700150,101.97999999999999,PMO-FCO,False,Sunday,,,9,11.98
700151,2025-03-24,,2025-04-20,FCO,FRA,FCO-FRA,DE1003,170.0,9.69,2.51,2,700151,182.2,FCO-FRA,False,Sunday,,,27,12.2
700152,2025-02-09,,2025-03-31,FCO,FRA,FCO-FRA,DE1003,68.0,14.85,2.06,1,700152,84.91,FCO-FRA,False,Monday,,,50,16.91
700153,2025-02-17,,2025-04-09,FCO,PMO,FCO → PMO,DE1001,76.5,0.0,0.0,1,700153,76.5,FCO-PMO,False,Wednesday,,,51,0.0
700154,2025-03-10,,2025-03-31,FCO,PMO,FCO-PMO,DE1001,153.0,14.8,7.35,2,700154,175.15,FCO-PMO,False,Monday,,,21,22.15
700155,2025-03-06,,2025-03-26,FCO,FRA,FCO-FRA,DE1003,68.0,8.42,3.77,1,700155,80.19,FCO-FRA,False,Wednesday,,,20,12.19
700156,2025-01-29,,2025-03-13,FCO,PMO,FCO-PMO,DE1001,153.0,14.29,6.61,2,700156,173.9,FCO-PMO,False,Thursday,,,43,20.9
700157,2025-04-05,,2025-04-17,PMO,FCO,PMO-FCO,DE1002,112.5,5.09,0.0,1,700157,117.59,PMO-FCO,False,Thursday,,,12,5.09
700158,2025-02-24,,2025-03-16,FCO,PMO,FCO-PMO,DE1001,153.0,0.0,9.96,2,700158,162.96,FCO-PMO,False,Sunday,,,20,9.96
700159,2025-04-05,,2025-04-13,FCO,PMO,FCO → PMO,DE1001,225.0,7.78,0.0,2,700159,232.78,FCO-PMO,False,Sunday,,,8,7.78
700160,2025-03-09,,2025-04-30,PMO,FCO,PMO-FCO,DE1002,76.5,15.37,4.21,1,700160,96.08,PMO-FCO,False,Wednesday,,,52,19.58
